pdb_id,attach_atom_index,attach_atom_name,attach_element,num_attached_H,degree,sasa_A2,min_dist_to_protein_A,clash_margin_A,growability_geom_status,growability_status,cone_height_A,cone_height_clear_A,cone_height_total_A,cone_half_angle_deg,cone_tip_x,cone_tip_y,cone_tip_z,cone_dir_x,cone_dir_y,cone_dir_z,cone_status,cone_reason,cone_n_accept_dirs,topo_eccentricity,topo_diameter,topo_center_score,G_total_corr_kcal,Kd_fold_from_G_total,linkerability
1XKK,0,C1,C,3,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,23,23,0,,,Not accessible
1XKK,27,C28,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,19,23,0.173913043,,,Not accessible
1XKK,4,C5,C,2,4,28.95334096,4.866236,1.6662362,ok,TRUE,2.2,3.2,5.4,45,22.65904636,31.14983396,30.10026985,0.695318956,-0.17159218,0.697916667,ok,,2,21,23,0.086956522,0.165328246,1.321862997,low rigidification
1XKK,5,C6,C,2,4,7.856113742,3.529546,0.32954597,ok,TRUE,2.2,2.7,4.9,45,19.80119764,30.98794772,32.98940188,0.855962612,-0.25826085,-0.447916667,ok,,1,20,23,0.130434783,0.09528461,1.174475885,low rigidification
1XKK,7,C8,C,2,4,8.474803713,3.474758,0.27475786,ok,TRUE,2.2,3.7,5.9,45,19.39411745,30.84149751,33.88556694,0.859221236,-0.479979542,-0.177083333,ok,,2,18,23,0.217391304,0.263440614,1.559923534,low rigidification
1XKK,9,C10,C,1,3,8.376206451,3.5259864,0.3259864,ok,TRUE,3.0280402,4.7,7.72804,36,17.32641834,32.65902539,32.83204379,0.612971657,-0.711408241,-0.34375,ok,,1,17,23,0.260869565,0.685346226,3.179525186,low rigidification
1XKK,10,C11,C,1,3,2.492526732,3.2832277,0.083227634,ok,TRUE,6.7709036,9.7,16.470903,18,13.05974345,37.05774693,32.99493834,0.473594659,-0.877719351,-0.072916667,ok,,1,16,23,0.304347826,6.354482076,45484.94628,high rigidification
1XKK,14,C15,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,15,23,0.347826087,,,Not accessible
1XKK,15,C16,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,14,23,0.391304348,,,Not accessible
1XKK,18,C19,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,14,23,0.391304348,,,Not accessible
1XKK,23,C24,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,15,23,0.347826087,,,Not accessible
1XKK,24,C25,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,16,23,0.304347826,,,Not accessible
1XKK,29,C30,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,21,23,0.086956522,,,Not accessible
1XKK,30,C31,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,22,23,0.043478261,,,Not accessible
1XKK,31,C32,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,23,23,0,,,Not accessible
1XKK,34,C35,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,21,23,0.086956522,,,Not accessible
1XKK,37,C38,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,15,23,0.347826087,,,Not accessible
1XKK,39,C40,C,1,3,0.054168683,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.054 <= 0.100,0,13,23,0.434782609,,,Not accessible
1XKK,21,N22,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,13,23,0.434782609,,,Not accessible
1XKK,6,N7,N,1,3,9.215819072,3.8672652,0.6672652,ok,TRUE,3.8105118,6.2,10.010511,30,18.44117647,35.35510493,34.9934409,0.859221236,-0.479979542,-0.177083333,ok,,1,19,23,0.173913043,3.122991939,194.611714,modest rigidification
2HYY,36,C20,C,3,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,16,22,0.272727273,,,Not accessible
2HYY,32,C54,C,3,4,24.39709482,4.238887,1.0388868,ok,TRUE,3.0280402,5.7,8.728041,36,10.35551009,21.20003317,20.15735581,-0.721246473,0.31951659,0.614583333,ok,,1,22,22,0,1.279618099,8.668951546,low rigidification
2HYY,27,C46,C,2,4,0.043140554,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.043 <= 0.100,0,17,22,0.227272727,,,Not accessible
2HYY,34,C49,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,19,22,0.136363636,,,Not accessible
2HYY,33,C50,C,2,4,11.57107918,4.180803,0.9808028,ok,TRUE,2.7167737,5.2,7.916774,39,8.821503914,20.21665513,19.8739157,-0.721246473,0.31951659,0.614583333,ok,,1,20,22,0.090909091,0.809261239,3.91915649,low rigidification
2HYY,30,C52,C,2,4,2.453244185,3.026242,-0.17375803,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,20,22,0.090909091,,,Not accessible
2HYY,29,C53,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,19,22,0.136363636,,,Not accessible
2HYY,0,C1,C,1,3,7.926587205,3.4768968,0.27689672,ok,TRUE,4.941281,6.2,11.141281,24,19.40291069,12.85654529,13.71391353,0.987286827,-0.158607108,-0.010416667,ok,,1,21,22,0.045454545,4.12619774,1058.093223,modest rigidification
2HYY,8,C11,C,1,3,0.378215281,2.8374438,-0.36255622,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,18,22,0.181818182,,,Not accessible
2HYY,7,C12,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,19,22,0.136363636,,,Not accessible
