pdb_id,attach_atom_index,attach_atom_name,attach_element,num_attached_H,degree,sasa_A2,min_dist_to_protein_A,clash_margin_A,growability_geom_status,growability_status,cone_height_A,cone_height_clear_A,cone_height_total_A,cone_half_angle_deg,cone_tip_x,cone_tip_y,cone_tip_z,cone_dir_x,cone_dir_y,cone_dir_z,cone_status,cone_reason,cone_n_accept_dirs,topo_eccentricity,topo_diameter,topo_center_score,G_total_corr_kcal,Kd_fold_from_G_total,linkerability
3OGK,0,C01,C,3,4,0.108281916,3.4647117,0.26471162,ok,TRUE,0,0,0,0,0,0,0,0,0,0,ok,,3,10,10,0,,,No cone found
3OGK,15,C16,C,3,4,0.581039142,3.079377,-0.12062311,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,10,10,0,,,Not accessible
3OGK,1,C02,C,2,4,0.062092816,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.062 <= 0.100,0,9,10,0.1,,,Not accessible
3OGK,3,C04,C,2,4,0.053953975,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.054 <= 0.100,0,7,10,0.3,,,Not accessible
3OGK,12,C13,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,10,0.2,,,Not accessible
3OGK,14,C15,C,2,4,0.675945089,2.8761878,-0.32381225,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,9,10,0.1,,,Not accessible
3OGK,17,C18,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,10,0.2,,,Not accessible
3OGK,18,C19,C,2,4,3.381310654,3.250807,0.050807,ok,TRUE,0,0,0,0,0,0,0,0,0,0,ok,,1,9,10,0.1,,,No cone found
3OGK,22,C23,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,10,0.1,,,Not accessible
3OGK,2,C03,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,10,0.2,,,Not accessible
3OGK,4,C05,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,6,10,0.4,,,Not accessible
3OGK,13,C14,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,10,0.2,,,Not accessible
3OGK,16,C17,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,7,10,0.3,,,Not accessible
3OGK,21,C22,C,1,4,0.919819994,2.7093215,-0.49067855,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,8,10,0.2,,,Not accessible
3OGK,7,N08,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,6,10,0.4,,,Not accessible
3OGK,11,O12,O,1,2,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,10,0.1,,,Not accessible
3OGM,0,C01,C,3,4,0.239928074,3.2537959,0.053795815,ok,TRUE,0,0,0,0,0,0,0,0,0,0,ok,,1,10,10,0,,,No cone found
3OGM,15,C16,C,3,4,0.896205692,3.030624,-0.16937613,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,10,10,0,,,Not accessible
3OGM,1,C02,C,2,4,0.586395096,3.6976748,0.4976747,ok,TRUE,0,0,0,0,0,0,0,0,0,0,ok,,2,9,10,0.1,,,No cone found
3OGM,3,C04,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,7,10,0.3,,,Not accessible
3OGM,12,C13,C,2,4,0.04510464,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.045 <= 0.100,0,8,10,0.2,,,Not accessible
3OGM,14,C15,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,10,0.1,,,Not accessible
3OGM,17,C18,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,10,0.2,,,Not accessible
3OGM,18,C19,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,10,0.1,,,Not accessible
3OGM,22,C23,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,10,0.1,,,Not accessible
3OGM,2,C03,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,10,0.2,,,Not accessible
3OGM,4,C05,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,6,10,0.4,,,Not accessible
3OGM,13,C14,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,10,0.2,,,Not accessible
3OGM,16,C17,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,7,10,0.3,,,Not accessible
3OGM,21,C22,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,10,0.2,,,Not accessible
3OGM,7,N08,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,6,10,0.4,,,Not accessible
3OGM,11,O12,O,1,2,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,10,0.1,,,Not accessible
5HXB,24,C22,C,3,4,4.468006525,3.8032885,0.6032884,ok,TRUE,0,0,0,0,0,0,0,0,0,0,ok,,2,18,18,0,,,No cone found
5HXB,13,C10,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,15,18,0.166666667,,,Not accessible
5HXB,14,C11,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,16,18,0.111111111,,,Not accessible
5HXB,17,C14,C,2,4,1.97391062,3.1900246,-0.009975433,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,10,18,0.444444444,,,Not accessible
5HXB,10,C7,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,18,0.333333333,,,Not accessible
5HXB,0,C1,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,10,18,0.444444444,,,Not accessible
5HXB,20,C17,C,1,3,1.390479081,2.4613137,-0.7386863,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,15,18,0.166666667,,,Not accessible
5HXB,25,C20,C,1,3,15.79371694,2.991323,-0.20867705,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,16,18,0.111111111,,,Not accessible
5HXB,26,C21,C,1,3,2.450366511,2.2901065,-0.9098935,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,15,18,0.166666667,,,Not accessible
5HXB,2,C3,C,1,3,0.138921691,2.6926165,-0.5073836,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,10,18,0.444444444,,,Not accessible
5HXB,3,C4,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,18,0.388888889,,,Not accessible
5HXB,12,C9,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,14,18,0.222222222,,,Not accessible
5HXB,7,N2,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,16,18,0.111111111,,,Not accessible
5HXB,8,N3,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,11,18,0.388888889,,,Not accessible
5HXB,28,N4,N,1,3,0.596340978,1.5436714,-1.6563287,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,13,18,0.277777778,,,Not accessible
6H0F,13,C14,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,6,9,0.333333333,,,Not accessible
6H0F,17,C18,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,7,9,0.222222222,,,Not accessible
6H0F,9,N10,N,2,3,0.880887477,2.326089,-0.87391114,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,9,9,0,,,Not accessible
6H0F,0,C1,C,1,3,2.985149569,2.2822242,-0.91777587,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,9,9,0,,,Not accessible
6H0F,11,C12,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,5,9,0.444444444,,,Not accessible
6H0F,1,C2,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,9,0,,,Not accessible
