pdb_id,attach_atom_index,attach_atom_name,attach_element,num_attached_H,degree,sasa_A2,min_dist_to_protein_A,clash_margin_A,growability_geom_status,growability_status,cone_height_A,cone_height_clear_A,cone_height_total_A,cone_half_angle_deg,cone_tip_x,cone_tip_y,cone_tip_z,cone_dir_x,cone_dir_y,cone_dir_z,cone_status,cone_reason,cone_n_accept_dirs,topo_eccentricity,topo_diameter,topo_center_score,G_total_corr_kcal,Kd_fold_from_G_total,linkerability
3KJD,17,C18,C,3,4,3.4160903437191603,4.055672,0.8556721,ok,TRUE,0,0,0,0,0,0,0,0,0,0,ok,,1,7,8,0.125,,,No cone found
3KJD,6,C15,C,2,4,0.937511174,3.9108293,0.71082926,ok,TRUE,0,0,0,0,0,0,0,0,0,0,ok,,1,8,8,0,,,No cone found
3KJD,16,C16,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,8,0,,,Not accessible
3KJD,7,C17,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,7,8,0.125,,,Not accessible
3KJD,13,N11,N,2,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,8,8,0,,,Not accessible
3KJD,8,C1,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,7,8,0.125,,,Not accessible
3KJD,9,C2,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,6,8,0.25,,,Not accessible
3KJD,2,C6,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,7,8,0.125,,,Not accessible
3KJD,15,N14,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,7,8,0.125,,,Not accessible
3KJD,12,N9,N,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,4,8,0.5,,,Not accessible
4PJV,20,C19,C,3,4,0.390380843,4.106532,0.90653205,ok,TRUE,0,0,0,0,0,0,0,0,0,0,ok,,3,9,11,0.1818181818181817,,,No cone found
4PJV,7,C10,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,10,11,0.090909091,,,Not accessible
4PJV,13,C12,C,1,3,0.065744772,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.066 <= 0.100,0,8,11,0.2727272727272727,,,Not accessible
4PJV,8,C13,C,1,3,8.339123563523346,3.9787438,0.77874374,ok,TRUE,2.7167737,5.7,8.416774,39,24.947319025051723,10.248390126985669,-6.733731675,0.5071175309795757,0.4057071638863858,0.7604166666666666,ok,,1,9,11,0.1818181818181817,0.884794479,4.45203791,low rigidification
4PJV,9,C15,C,1,3,1.943171657871967,2.6376553,-0.5623448,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,9,11,0.1818181818181817,,,Not accessible
4PJV,14,C16,C,1,3,0.3677835180259937,2.7662032,-0.43379688,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,8,11,0.2727272727272727,,,Not accessible
4PJV,17,C18,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,9,11,0.1818181818181817,,,Not accessible
4PJV,3,C5,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,6,11,0.4545454545454546,,,Not accessible
4PJV,4,C6,C,1,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,6,11,0.4545454545454546,,,Not accessible
