pdb_id,attach_atom_index,attach_atom_name,attach_element,num_attached_H,degree,sasa_A2,min_dist_to_protein_A,clash_margin_A,growability_geom_status,growability_status,cone_height_A,cone_height_clear_A,cone_height_total_A,cone_half_angle_deg,cone_tip_x,cone_tip_y,cone_tip_z,cone_dir_x,cone_dir_y,cone_dir_z,cone_status,cone_reason,cone_n_accept_dirs,topo_eccentricity,topo_diameter,topo_center_score,G_total_corr_kcal,Kd_fold_from_G_total,linkerability
1M48,17,C20,C,3,4,63.74116675,7.5516562,4.351656,ok,TRUE,0.38791937,2.2,2.5879195,80,-0.266333457,21.86107798,-7.416293687,-0.148790029,0.790773333,-0.59375,ok,,3,14,19,0.263157895,0.029151666,1.050432909,low rigidification
1M48,18,C15,C,2,4,20.21296964,5.868338,2.668338,ok,TRUE,0.38791937,2.2,2.5879195,80,0.269583674,17.45912884,-10.87453617,-0.148790029,0.790773333,-0.59375,ok,,2,10,19,0.473684211,0.029151666,1.050432909,low rigidification
1M48,9,C23,C,2,4,1.166917609,2.6636727,-0.53632736,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,14,19,0.263157895,,,Not accessible
1M48,7,C26,C,2,4,9.72450182,5.1324058,1.9324057,ok,TRUE,1.0258769,2.2,3.2258768,65,1.718622465,19.96704438,-6.095176182,-0.620857018,0.783854614,0.010416667,ok,,2,16,19,0.157894737,0.076023592,1.136908935,low rigidification
1M48,6,C27,C,2,4,18.03721735,5.053923,1.8539231,ok,TRUE,0.38791937,2.2,2.5879195,80,-0.220072238,22.19207849,-3.813338202,-0.489503544,0.522779693,-0.697916667,ok,,2,17,19,0.105263158,0.029151666,1.050432909,low rigidification
1M48,5,C28,C,2,4,4.078221369,5.2180805,2.0180805,ok,TRUE,1.4015546,2.2,3.6015546,57.5,0.15364403,20.95879081,-0.70847709,-0.578393604,0.148738579,-0.802083333,ok,,1,18,19,0.052631579,0.077361813,1.139479726,low rigidification
1M48,4,C30,C,2,4,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,16,19,0.157894737,,,Not accessible
1M48,2,N32,N,2,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,19,19,0,,,Not accessible
1M48,32,C1,C,1,3,0.109440802,2.479191,-0.720809,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,19,19,0,,,Not accessible
1M48,23,C10,C,1,3,0,,,skipped_sasa,FALSE,,,,,,,,,,,skipped_sasa,sasa_A2=0.000 <= 0.100,0,12,19,0.368421053,,,Not accessible
1M48,22,C11,C,1,3,5.608304327,2.7813945,-0.41860557,ok,FALSE,,,,,,,,,,,no_accept_dir,no directions with d >= r_excl_A (3.20),0,11,19,0.421052632,,,Not accessible
